Subscription ID,Household Income,Home Ownership,Children,Year Of Residence,Age Range,Recruitment Channel,Subscriber
181466410,"$100,000 - $199,999",OWNER,N,23,60-64,Website,YES
160259817,"$  50,000 - $99,999",OWNER,N,18,75 years or more,DirectMarketing,NO
181488713,"$  20,000 - $49,999",RENTER,N,1,75 years or more,DirectMarketing,YES
181356467,"$400,000 - $499,999",OWNER,N,12,65-69,DirectMarketing,NO
140502323,"$100,000 - $199,999",OWNER,N,5,40-44,Website,NO
180653110,"$  50,000 - $99,999",OWNER,N,24,75 years or more,Website,NO
180501995,"Under $20,000",RENTER,N,1,24 years or less,Website,NO
180469743,"$  50,000 - $99,999",OWNER,N,4,30-34,DirectMarketing,NO
130397336,"$  50,000 - $99,999",OWNER,N,1,40-44,DirectMarketing,NO
181298078,"$  50,000 - $99,999",OWNER,N,7,40-44,DirectMarketing,YES
180507161,"$100,000 - $199,999",OWNER,Y,6,45-49,DirectMarketing,NO
150036530,"$100,000 - $199,999",OWNER,N,20,75 years or more,DirectMarketing,YES
180589430,"$  20,000 - $49,999",OWNER,N,15,55-59,DirectMarketing,NO
180313112,"$  50,000 - $99,999",RENTER,Y,7,35-39,Website,YES
160533720,"$100,000 - $199,999",OWNER,Y,11,60-64,Website,NO
180673228,"$  50,000 - $99,999",OWNER,Y,15,50-54,DirectMarketing,YES
180456248,"$100,000 - $199,999",OWNER,Y,2,45-49,DirectMarketing,NO
130357821,"$  50,000 - $99,999",OWNER,N,1,40-44,DirectMarketing,NO
180585447,"$  20,000 - $49,999",OWNER,N,6,25-29,Website,NO
180344248,"$  20,000 - $49,999",OWNER,N,6,25-29,Website,NO
170595776,"$  50,000 - $99,999",OWNER,Y,16,40-44,Website,YES
180641377,"$300,000 - $399,999",OWNER,Y,18,45-49,DirectMarketing,NO
140083471,"$100,000 - $199,999",OWNER,N,33,60-64,DirectMarketing,NO
181483288,"$  50,000 - $99,999",RENTER,N,3,35-39,DirectMarketing,YES
181287470,"$  20,000 - $49,999",RENTER,N,1,25-29,Website,NO
180682413,"$  50,000 - $99,999",OWNER,N,17,50-54,DirectMarketing,NO
130434310,"$  20,000 - $49,999",OWNER,N,29,75 years or more,DirectMarketing,YES
180240923,"$  50,000 - $99,999",OWNER,N,27,60-64,DirectMarketing,NO
180548426,"$  50,000 - $99,999",OWNER,N,2,25-29,DirectMarketing,NO
181551247,"$  20,000 - $49,999",RENTER,N,3,50-54,Website,YES
130115124,"$  20,000 - $49,999",OWNER,N,3,30-34,DirectMarketing,NO
180440449,"$  50,000 - $99,999",OWNER,N,2,45-49,DirectMarketing,NO
180299114,"$  20,000 - $49,999",OWNER,N,4,30-34,DirectMarketing,NO
181492705,"Under $20,000",RENTER,N,1,24 years or less,Website,YES
150031343,"Under $20,000",OWNER,N,44,70-74,DirectMarketing,NO
180488140,"Under $20,000",OWNER,N,8,45-49,DirectMarketing,NO
130526640,"$  50,000 - $99,999",OWNER,N,26,75 years or more,Website,NO
180652184,"$  20,000 - $49,999",RENTER,N,11,35-39,DirectMarketing,NO
180558515,"$200,000 - $299,999",OWNER,N,16,60-64,DirectMarketing,NO
181313734,"Under $20,000",OWNER,N,32,60-64,DirectMarketing,NO
181199700,"$  50,000 - $99,999",OWNER,N,24,55-59,DirectMarketing,NO
181374723,"$100,000 - $199,999",RENTER,N,4,35-39,DirectMarketing,NO
180441380,"$  50,000 - $99,999",OWNER,N,26,55-59,DirectMarketing,NO
180428632,"$  50,000 - $99,999",RENTER,N,13,45-49,DirectMarketing,NO
181293644,"Under $20,000",OWNER,Y,11,35-39,DirectMarketing,NO
140448976,"$100,000 - $199,999",OWNER,N,38,75 years or more,DirectMarketing,NO
180489445,"$300,000 - $399,999",OWNER,Y,5,60-64,DirectMarketing,YES
181490955,"$  50,000 - $99,999",RENTER,N,7,35-39,Website,NO
110111594,"Under $20,000",RENTER,N,1,70-74,Website,NO
181177156,"Under $20,000",RENTER,N,1,35-39,DirectMarketing,NO
181204203,"$100,000 - $199,999",OWNER,N,6,35-39,Website,NO
181546221,"Under $20,000",RENTER,N,7,55-59,Website,YES
140583355,"$  50,000 - $99,999",OWNER,N,1,40-44,DirectMarketing,NO
110037079,"$100,000 - $199,999",OWNER,N,1,35-39,DirectMarketing,NO
181170396,"$  20,000 - $49,999",OWNER,Y,2,65-69,DirectMarketing,NO
181474148,"$100,000 - $199,999",OWNER,N,4,50-54,Website,YES
180733805,"$  50,000 - $99,999",OWNER,N,22,50-54,DirectMarketing,NO
110186585,"$100,000 - $199,999",OWNER,N,4,35-39,DirectMarketing,NO
140302977,"$  50,000 - $99,999",OWNER,N,4,30-34,DirectMarketing,NO
180587875,"$  20,000 - $49,999",OWNER,N,22,75 years or more,DirectMarketing,NO
160039345,"$100,000 - $199,999",OWNER,N,37,70-74,DirectMarketing,NO
181186917,"$  50,000 - $99,999",OWNER,N,3,50-54,DirectMarketing,NO
150273375,"$  50,000 - $99,999",OWNER,Y,34,70-74,Website,YES
180295430,"$  50,000 - $99,999",OWNER,N,18,50-54,DirectMarketing,NO
181435206,"$  20,000 - $49,999",OWNER,N,21,55-59,Website,NO
120066501,"$  20,000 - $49,999",OWNER,N,5,50-54,DirectMarketing,NO
180470004,"$  20,000 - $49,999",OWNER,N,15,65-69,Website,NO
180200612,"$  20,000 - $49,999",RENTER,N,4,65-69,DirectMarketing,NO
180236877,"$100,000 - $199,999",OWNER,N,1,45-49,DirectMarketing,NO
180480647,"$  20,000 - $49,999",RENTER,N,13,55-59,DirectMarketing,YES
180162643,"$100,000 - $199,999",OWNER,N,14,70-74,DirectMarketing,NO
120045536,"$100,000 - $199,999",OWNER,N,38,70-74,DirectMarketing,YES
181372316,"$300,000 - $399,999",OWNER,N,38,70-74,Website,NO
181195448,"$100,000 - $199,999",RENTER,Y,3,40-44,Website,NO
180756039,"$  50,000 - $99,999",OWNER,Y,5,60-64,Website,NO
180589516,"$  20,000 - $49,999",RENTER,N,2,25-29,Website,NO
181540330,"Under $20,000",OWNER,N,22,40-44,Website,YES
180309528,"$  50,000 - $99,999",OWNER,N,24,50-54,Website,NO
140498172,"Under $20,000",RENTER,N,8,24 years or less,DirectMarketing,NO
181553679,"$  50,000 - $99,999",RENTER,N,1,30-34,Website,YES
180552974,"$  20,000 - $49,999",OWNER,N,21,50-54,DirectMarketing,NO
180342074,"Under $20,000",RENTER,N,7,25-29,DirectMarketing,NO
181308855,"$100,000 - $199,999",OWNER,N,12,55-59,DirectMarketing,NO
110123389,"$  50,000 - $99,999",OWNER,N,2,45-49,DirectMarketing,NO
180134013,"$100,000 - $199,999",OWNER,Y,8,60-64,Website,NO
181483113,"$  20,000 - $49,999",RENTER,N,6,30-34,Website,NO
170170582,"$100,000 - $199,999",OWNER,N,2,55-59,DirectMarketing,NO
130336499,"$  20,000 - $49,999",RENTER,N,1,45-49,DirectMarketing,NO
180366721,"$  20,000 - $49,999",RENTER,N,6,25-29,DirectMarketing,NO
180543673,"$  50,000 - $99,999",OWNER,Y,10,35-39,DirectMarketing,NO
180564507,"$  20,000 - $49,999",OWNER,N,32,65-69,Website,NO
160039940,"$100,000 - $199,999",OWNER,N,37,75 years or more,DirectMarketing,YES
150556938,"$  50,000 - $99,999",OWNER,N,22,50-54,DirectMarketing,NO
150565219,"$500,000 Plus",OWNER,Y,16,50-54,DirectMarketing,YES
110025410,"$  20,000 - $49,999",OWNER,N,55,65-69,DirectMarketing,YES
180617837,"$100,000 - $199,999",OWNER,Y,22,40-44,DirectMarketing,NO
110178451,"$  20,000 - $49,999",OWNER,N,29,70-74,Website,NO
150265990,"$  20,000 - $49,999",OWNER,N,26,60-64,DirectMarketing,NO
130111428,"$  20,000 - $49,999",OWNER,N,16,70-74,DirectMarketing,YES
180340945,"Under $20,000",RENTER,N,2,65-69,DirectMarketing,NO
180619667,"$  50,000 - $99,999",OWNER,Y,31,65-69,DirectMarketing,YES
181429439,"$300,000 - $399,999",OWNER,N,23,60-64,Website,YES
180445749,"$100,000 - $199,999",OWNER,N,9,55-59,Website,NO
181414836,"Under $20,000",RENTER,N,3,30-34,Website,NO
110510160,"Under $20,000",RENTER,N,10,35-39,DirectMarketing,NO
170112832,"Under $20,000",OWNER,N,22,75 years or more,DirectMarketing,NO
130085479,"$100,000 - $199,999",OWNER,N,36,60-64,DirectMarketing,YES
180382048,"$  50,000 - $99,999",RENTER,Y,3,30-34,DirectMarketing,NO
180507860,"$  50,000 - $99,999",OWNER,N,8,30-34,DirectMarketing,NO
140278169,"$  50,000 - $99,999",OWNER,N,8,30-34,DirectMarketing,NO
110571641,"$100,000 - $199,999",RENTER,N,2,55-59,DirectMarketing,NO
180681603,"$  50,000 - $99,999",OWNER,N,42,70-74,DirectMarketing,NO
130492879,"$100,000 - $199,999",OWNER,N,18,65-69,DirectMarketing,YES
181433303,"$  50,000 - $99,999",OWNER,N,20,55-59,Website,YES
140085711,"$  50,000 - $99,999",OWNER,N,30,65-69,DirectMarketing,YES
180275477,"$  20,000 - $49,999",OWNER,N,6,30-34,DirectMarketing,NO
170602755,"$  20,000 - $49,999",OWNER,Y,20,70-74,DirectMarketing,NO
180551263,"Under $20,000",OWNER,Y,19,45-49,DirectMarketing,NO
180635844,"Under $20,000",RENTER,N,4,50-54,Website,NO
180348357,"$  20,000 - $49,999",OWNER,N,25,55-59,DirectMarketing,NO
180247315,"$  50,000 - $99,999",OWNER,N,55,75 years or more,Website,NO
180332394,"Under $20,000",RENTER,N,3,35-39,Website,NO
181362661,"$  20,000 - $49,999",RENTER,N,3,45-49,Website,NO
180391689,"$  50,000 - $99,999",RENTER,N,2,45-49,DirectMarketing,NO
180169580,"$  50,000 - $99,999",RENTER,N,2,45-49,DirectMarketing,NO
150322648,"$100,000 - $199,999",OWNER,N,40,70-74,Website,NO
180578769,"$  20,000 - $49,999",RENTER,N,4,35-39,DirectMarketing,NO
120107885,"$  50,000 - $99,999",RENTER,N,6,25-29,Website,NO
170143135,"$100,000 - $199,999",OWNER,N,28,75 years or more,DirectMarketing,YES
160058609,"$100,000 - $199,999",OWNER,N,36,65-69,DirectMarketing,YES
150364613,"$100,000 - $199,999",OWNER,N,33,75 years or more,DirectMarketing,NO
180495932,"$100,000 - $199,999",OWNER,Y,14,45-49,Website,YES
160005899,"$100,000 - $199,999",OWNER,N,35,75 years or more,Website,NO
170091181,"$  20,000 - $49,999",OWNER,N,21,75 years or more,DirectMarketing,NO
180276172,"$100,000 - $199,999",OWNER,N,7,40-44,DirectMarketing,NO
180446888,"$  50,000 - $99,999",OWNER,Y,18,50-54,Website,NO
150170727,"$100,000 - $199,999",OWNER,N,39,70-74,DirectMarketing,NO
180491380,"$  50,000 - $99,999",OWNER,Y,13,45-49,Website,NO
180350800,"$  20,000 - $49,999",OWNER,N,23,40-44,DirectMarketing,NO
160067772,"$  50,000 - $99,999",OWNER,N,9,40-44,DirectMarketing,NO
181333925,"Under $20,000",OWNER,N,6,55-59,Website,NO
120308330,"$  50,000 - $99,999",OWNER,N,2,45-49,DirectMarketing,NO
150518550,"$  50,000 - $99,999",OWNER,Y,11,40-44,DirectMarketing,NO
181282172,"$  50,000 - $99,999",OWNER,N,10,40-44,Website,NO
180356281,"$  50,000 - $99,999",OWNER,N,1,70-74,DirectMarketing,NO
181208871,"$  50,000 - $99,999",RENTER,Y,4,30-34,Website,NO
180652473,"$  20,000 - $49,999",OWNER,N,7,50-54,DirectMarketing,NO
181215406,"Under $20,000",RENTER,N,5,75 years or more,DirectMarketing,NO
120360641,"$100,000 - $199,999",OWNER,Y,11,50-54,DirectMarketing,YES
150593471,"$400,000 - $499,999",OWNER,Y,20,60-64,DirectMarketing,NO
130579056,"$  20,000 - $49,999",RENTER,N,3,25-29,Website,NO
180444933,"$100,000 - $199,999",OWNER,Y,9,35-39,DirectMarketing,NO
110120750,"$  20,000 - $49,999",RENTER,N,5,45-49,Website,NO
140179644,"$  20,000 - $49,999",OWNER,N,8,45-49,DirectMarketing,NO
160104277,"$  50,000 - $99,999",OWNER,Y,34,60-64,DirectMarketing,NO
180283624,"$  20,000 - $49,999",RENTER,Y,7,45-49,Website,NO
180461198,"$100,000 - $199,999",OWNER,Y,15,45-49,DirectMarketing,NO
180584985,"$100,000 - $199,999",OWNER,N,1,35-39,DirectMarketing,NO
181338022,"Under $20,000",OWNER,N,10,45-49,Website,NO
120331423,"$300,000 - $399,999",OWNER,Y,31,65-69,DirectMarketing,YES
140563797,"$  50,000 - $99,999",RENTER,N,1,25-29,Website,NO
180425619,"$  20,000 - $49,999",RENTER,Y,8,30-34,DirectMarketing,NO
181320397,"$100,000 - $199,999",OWNER,N,10,60-64,DirectMarketing,NO
180346504,"$100,000 - $199,999",OWNER,Y,18,55-59,DirectMarketing,NO
180194817,"$  50,000 - $99,999",RENTER,Y,5,55-59,Website,NO
160182187,"Under $20,000",RENTER,N,4,40-44,DirectMarketing,NO
150473855,"$100,000 - $199,999",OWNER,Y,19,55-59,DirectMarketing,YES
150110030,"$  20,000 - $49,999",OWNER,N,37,75 years or more,DirectMarketing,YES
180370893,"$  50,000 - $99,999",OWNER,Y,21,50-54,DirectMarketing,NO
110234465,"$400,000 - $499,999",OWNER,N,23,65-69,DirectMarketing,NO
180635497,"$100,000 - $199,999",OWNER,Y,3,50-54,DirectMarketing,NO
181189065,"Under $20,000",RENTER,Y,7,35-39,DirectMarketing,NO
180316359,"$100,000 - $199,999",OWNER,N,7,55-59,DirectMarketing,NO
130567842,"$100,000 - $199,999",OWNER,Y,22,50-54,DirectMarketing,NO
180459178,"$  50,000 - $99,999",RENTER,N,5,30-34,DirectMarketing,NO
160296602,"$  50,000 - $99,999",OWNER,Y,16,45-49,Website,NO
180508050,"Under $20,000",RENTER,N,7,25-29,DirectMarketing,NO
180168726,"$  20,000 - $49,999",OWNER,Y,18,35-39,DirectMarketing,NO
181344370,"$  20,000 - $49,999",RENTER,N,1,55-59,Website,YES
170461278,"$  50,000 - $99,999",RENTER,Y,3,45-49,Website,NO
180283168,"$  50,000 - $99,999",OWNER,N,38,75 years or more,DirectMarketing,NO
150313590,"$100,000 - $199,999",OWNER,Y,4,50-54,DirectMarketing,NO
181415435,"$  50,000 - $99,999",OWNER,N,4,40-44,Website,YES
180615469,"$  50,000 - $99,999",OWNER,Y,22,65-69,DirectMarketing,NO
180439345,"$  20,000 - $49,999",OWNER,N,16,60-64,DirectMarketing,NO
110118209,"$100,000 - $199,999",OWNER,N,43,75 years or more,DirectMarketing,YES
180306936,"$  50,000 - $99,999",OWNER,N,17,45-49,DirectMarketing,NO
120095453,"$  20,000 - $49,999",OWNER,N,23,75 years or more,DirectMarketing,NO
150247468,"$  50,000 - $99,999",OWNER,N,9,30-34,Website,NO
181174376,"$100,000 - $199,999",OWNER,N,16,50-54,DirectMarketing,NO
180437896,"$300,000 - $399,999",OWNER,N,6,45-49,Website,NO
110259973,"$  50,000 - $99,999",OWNER,Y,4,55-59,DirectMarketing,NO
180431763,"$100,000 - $199,999",OWNER,Y,23,55-59,DirectMarketing,NO
180707627,"$100,000 - $199,999",OWNER,N,20,55-59,DirectMarketing,NO
180551033,"$  50,000 - $99,999",OWNER,N,1,35-39,DirectMarketing,NO
180412653,"$  20,000 - $49,999",OWNER,Y,11,40-44,Website,NO
180479856,"$  50,000 - $99,999",OWNER,N,41,60-64,Website,NO
120570165,"$100,000 - $199,999",OWNER,N,3,35-39,DirectMarketing,NO
180695744,"$100,000 - $199,999",OWNER,N,1,40-44,DirectMarketing,NO
180457157,"$  20,000 - $49,999",OWNER,N,4,35-39,DirectMarketing,NO
181456666,"$  20,000 - $49,999",RENTER,N,9,24 years or less,Website,NO
160536856,"Under $20,000",RENTER,N,1,30-34,DirectMarketing,NO
140314548,"$  20,000 - $49,999",RENTER,N,1,45-49,DirectMarketing,YES
140604852,"$300,000 - $399,999",OWNER,N,10,35-39,DirectMarketing,NO
160080750,"$  50,000 - $99,999",OWNER,Y,29,75 years or more,DirectMarketing,YES
181218831,"$  50,000 - $99,999",OWNER,N,10,50-54,DirectMarketing,YES
181299855,"$  50,000 - $99,999",OWNER,N,1,50-54,Website,NO
181260289,"$  20,000 - $49,999",OWNER,N,16,75 years or more,Website,NO
180161218,"$  20,000 - $49,999",OWNER,Y,12,40-44,DirectMarketing,NO
181442625,"Under $20,000",RENTER,N,7,24 years or less,DirectMarketing,YES
181490427,"$  20,000 - $49,999",OWNER,N,22,50-54,Website,YES
150357053,"Under $20,000",RENTER,N,4,75 years or more,DirectMarketing,NO
181209836,"Under $20,000",RENTER,N,1,75 years or more,DirectMarketing,NO
120393282,"$  20,000 - $49,999",RENTER,N,4,45-49,DirectMarketing,NO
180494342,"Under $20,000",RENTER,N,3,65-69,DirectMarketing,NO
170262149,"Under $20,000",RENTER,N,15,75 years or more,DirectMarketing,NO
181475237,"$  50,000 - $99,999",OWNER,Y,10,45-49,Website,NO
181348567,"$  20,000 - $49,999",RENTER,N,2,35-39,DirectMarketing,NO
180447841,"$  50,000 - $99,999",OWNER,Y,9,35-39,DirectMarketing,NO
180317540,"$  20,000 - $49,999",OWNER,N,7,35-39,Website,NO
150503094,"Under $20,000",RENTER,Y,7,35-39,DirectMarketing,NO
180373356,"$  20,000 - $49,999",RENTER,N,3,25-29,DirectMarketing,NO
180675729,"$100,000 - $199,999",OWNER,Y,29,50-54,DirectMarketing,NO
150058636,"$  50,000 - $99,999",OWNER,N,34,70-74,DirectMarketing,NO
180373386,"$300,000 - $399,999",OWNER,N,1,50-54,DirectMarketing,NO
180656458,"Under $20,000",RENTER,N,1,35-39,DirectMarketing,NO
120112169,"$  20,000 - $49,999",RENTER,N,1,60-64,Website,NO
140536210,"$  50,000 - $99,999",OWNER,N,15,60-64,DirectMarketing,YES
180066212,"$  50,000 - $99,999",OWNER,N,33,65-69,DirectMarketing,YES
181301864,"$100,000 - $199,999",OWNER,N,43,70-74,DirectMarketing,NO
180645997,"$  50,000 - $99,999",OWNER,N,8,55-59,DirectMarketing,NO
180305767,"$  50,000 - $99,999",OWNER,Y,7,35-39,Website,NO
170285760,"$  50,000 - $99,999",OWNER,N,15,45-49,DirectMarketing,NO
110555583,"$  20,000 - $49,999",RENTER,N,3,60-64,DirectMarketing,NO
130319748,"$100,000 - $199,999",RENTER,N,1,40-44,DirectMarketing,NO
110586355,"$  20,000 - $49,999",OWNER,N,7,70-74,DirectMarketing,NO
180266471,"$  50,000 - $99,999",OWNER,N,30,70-74,DirectMarketing,NO
180695486,"Under $20,000",OWNER,N,32,65-69,DirectMarketing,NO
110272573,"$100,000 - $199,999",OWNER,Y,7,40-44,DirectMarketing,NO
180489411,"$100,000 - $199,999",OWNER,N,31,60-64,DirectMarketing,NO
180574631,"$100,000 - $199,999",OWNER,N,3,45-49,DirectMarketing,NO
180707852,"$  50,000 - $99,999",OWNER,Y,5,45-49,DirectMarketing,NO
180695624,"$  20,000 - $49,999",RENTER,N,10,45-49,DirectMarketing,NO
180465406,"Under $20,000",RENTER,N,1,40-44,Website,NO
180401598,"Under $20,000",OWNER,N,31,60-64,DirectMarketing,NO
180583971,"$100,000 - $199,999",OWNER,Y,6,40-44,DirectMarketing,NO
110190631,"$200,000 - $299,999",OWNER,Y,15,55-59,DirectMarketing,YES
180573955,"$  20,000 - $49,999",OWNER,N,15,24 years or less,Website,NO
180461566,"$100,000 - $199,999",OWNER,N,3,60-64,DirectMarketing,NO
180304922,"$100,000 - $199,999",RENTER,N,8,40-44,DirectMarketing,NO
180371788,"Under $20,000",RENTER,N,6,30-34,DirectMarketing,YES
181284391,"Under $20,000",RENTER,Y,1,25-29,Website,NO
180411460,"Under $20,000",RENTER,N,6,40-44,DirectMarketing,NO
180532423,"Under $20,000",RENTER,N,9,24 years or less,DirectMarketing,NO
180568291,"$100,000 - $199,999",OWNER,N,17,55-59,DirectMarketing,NO
180368774,"$  20,000 - $49,999",OWNER,N,30,50-54,Website,NO
181177168,"$  20,000 - $49,999",OWNER,N,30,65-69,DirectMarketing,NO
150556882,"$300,000 - $399,999",OWNER,N,35,75 years or more,DirectMarketing,YES
110317443,"$100,000 - $199,999",OWNER,Y,10,40-44,Website,NO
130265099,"$100,000 - $199,999",OWNER,N,37,75 years or more,DirectMarketing,YES
180581049,"$  20,000 - $49,999",OWNER,Y,12,45-49,Website,NO
181334787,"$100,000 - $199,999",OWNER,N,18,60-64,DirectMarketing,NO
120123544,"$300,000 - $399,999",OWNER,N,30,65-69,DirectMarketing,NO
180274098,"$100,000 - $199,999",OWNER,Y,23,70-74,DirectMarketing,NO
180613434,"$  50,000 - $99,999",OWNER,N,28,60-64,DirectMarketing,YES
180460877,"$100,000 - $199,999",OWNER,N,22,55-59,DirectMarketing,NO
180285763,"$  50,000 - $99,999",RENTER,N,1,25-29,DirectMarketing,NO
180482563,"$  20,000 - $49,999",RENTER,Y,12,45-49,Website,NO
180735099,"Under $20,000",RENTER,N,4,60-64,DirectMarketing,NO
180169647,"$100,000 - $199,999",OWNER,N,3,25-29,DirectMarketing,NO
180362136,"$100,000 - $199,999",RENTER,N,29,65-69,DirectMarketing,NO
120570445,"$100,000 - $199,999",OWNER,Y,2,65-69,DirectMarketing,NO
181188367,"$  50,000 - $99,999",OWNER,N,1,45-49,DirectMarketing,NO
130606951,"$  50,000 - $99,999",OWNER,Y,13,30-34,DirectMarketing,NO
180380321,"$100,000 - $199,999",RENTER,N,1,50-54,DirectMarketing,NO
180587837,"Under $20,000",OWNER,N,7,24 years or less,DirectMarketing,NO
170544347,"$100,000 - $199,999",RENTER,N,6,60-64,DirectMarketing,NO
180315476,"$  20,000 - $49,999",OWNER,N,7,45-49,DirectMarketing,NO
170060570,"$100,000 - $199,999",OWNER,N,36,60-64,DirectMarketing,NO
180597385,"$  20,000 - $49,999",OWNER,N,13,24 years or less,DirectMarketing,NO
181286446,"$  50,000 - $99,999",OWNER,N,3,30-34,Website,NO
180704297,"Under $20,000",RENTER,Y,2,25-29,DirectMarketing,NO
180595999,"Under $20,000",RENTER,N,1,25-29,Website,NO
181516137,"Under $20,000",RENTER,N,4,35-39,DirectMarketing,YES
180644366,"Under $20,000",RENTER,N,1,24 years or less,DirectMarketing,NO
110326718,"$  20,000 - $49,999",OWNER,N,1,24 years or less,DirectMarketing,NO
120040111,"$  20,000 - $49,999",OWNER,N,34,75 years or more,DirectMarketing,NO
180714431,"$  20,000 - $49,999",OWNER,N,34,75 years or more,DirectMarketing,NO
140077052,"$100,000 - $199,999",OWNER,N,31,70-74,DirectMarketing,NO
181371019,"Under $20,000",OWNER,N,8,65-69,DirectMarketing,NO
180270863,"Under $20,000",RENTER,N,5,75 years or more,DirectMarketing,NO
170563618,"$  20,000 - $49,999",OWNER,N,1,24 years or less,DirectMarketing,NO
181344960,"Under $20,000",RENTER,N,7,24 years or less,DirectMarketing,NO
181295977,"$  50,000 - $99,999",RENTER,N,1,25-29,Website,NO
180265173,"$  20,000 - $49,999",OWNER,N,9,35-39,DirectMarketing,NO
160440060,"Under $20,000",RENTER,N,14,50-54,DirectMarketing,NO
180696625,"$300,000 - $399,999",OWNER,N,24,60-64,DirectMarketing,YES
180565511,"$  50,000 - $99,999",OWNER,Y,9,60-64,DirectMarketing,NO
181535610,"$  50,000 - $99,999",OWNER,N,2,30-34,Website,NO
170556961,"$  20,000 - $49,999",OWNER,N,22,45-49,DirectMarketing,YES
181177208,"$  20,000 - $49,999",OWNER,Y,16,40-44,DirectMarketing,NO
181218829,"$  20,000 - $49,999",OWNER,N,13,60-64,DirectMarketing,YES
181339662,"$  50,000 - $99,999",OWNER,N,10,35-39,DirectMarketing,NO
181542808,"$  20,000 - $49,999",OWNER,N,33,75 years or more,DirectMarketing,NO
180674417,"$  50,000 - $99,999",RENTER,N,2,45-49,DirectMarketing,NO
181148148,"$  20,000 - $49,999",RENTER,N,17,55-59,DirectMarketing,NO
180448838,"$  20,000 - $49,999",OWNER,Y,22,45-49,DirectMarketing,NO
180750477,"$100,000 - $199,999",OWNER,N,20,45-49,DirectMarketing,NO
180444917,"$  20,000 - $49,999",RENTER,N,1,25-29,Website,NO
181357650,"$100,000 - $199,999",OWNER,Y,17,50-54,DirectMarketing,YES
120543845,"$  20,000 - $49,999",OWNER,N,1,35-39,DirectMarketing,NO
180588621,"$  50,000 - $99,999",OWNER,N,24,60-64,Website,NO
180661322,"Under $20,000",RENTER,N,2,24 years or less,DirectMarketing,NO
170012774,"$  50,000 - $99,999",OWNER,N,14,60-64,Website,NO
181515111,"$100,000 - $199,999",OWNER,Y,2,50-54,DirectMarketing,YES
160464518,"$  20,000 - $49,999",RENTER,N,17,55-59,DirectMarketing,NO
181350140,"$100,000 - $199,999",OWNER,Y,32,40-44,DirectMarketing,NO
180492439,"$100,000 - $199,999",OWNER,N,15,35-39,Website,NO
180489903,"$300,000 - $399,999",OWNER,N,32,55-59,DirectMarketing,NO
181418920,"Under $20,000",RENTER,N,6,40-44,Website,NO
180425764,"$  20,000 - $49,999",RENTER,N,9,45-49,DirectMarketing,NO
181333054,"$  50,000 - $99,999",OWNER,N,20,55-59,DirectMarketing,YES
110155393,"$100,000 - $199,999",OWNER,N,46,75 years or more,DirectMarketing,YES
181215616,"$  20,000 - $49,999",RENTER,N,10,55-59,DirectMarketing,NO
180738058,"$  20,000 - $49,999",OWNER,N,32,65-69,DirectMarketing,NO
181530395,"Under $20,000",OWNER,N,14,65-69,Website,YES
180505397,"$300,000 - $399,999",OWNER,N,28,70-74,DirectMarketing,NO
180664049,"$100,000 - $199,999",OWNER,N,16,45-49,DirectMarketing,NO
180495728,"$100,000 - $199,999",OWNER,N,3,35-39,Website,NO
170607172,"$300,000 - $399,999",RENTER,Y,1,45-49,DirectMarketing,NO
150157462,"$100,000 - $199,999",RENTER,N,2,50-54,DirectMarketing,NO
180559516,"$100,000 - $199,999",OWNER,N,13,65-69,DirectMarketing,NO
140488085,"Under $20,000",RENTER,N,3,30-34,Website,NO
181180143,"$100,000 - $199,999",OWNER,Y,15,40-44,DirectMarketing,NO
181372336,"Under $20,000",OWNER,N,6,70-74,DirectMarketing,NO
181214982,"$  20,000 - $49,999",RENTER,Y,3,40-44,Website,NO
180501092,"$  50,000 - $99,999",RENTER,N,1,25-29,DirectMarketing,NO
181552356,"$  50,000 - $99,999",RENTER,N,1,25-29,Website,YES
180613406,"$  50,000 - $99,999",OWNER,N,50,75 years or more,DirectMarketing,NO
170595419,"$  50,000 - $99,999",RENTER,N,1,60-64,DirectMarketing,NO
181526713,"Under $20,000",RENTER,N,2,50-54,Website,YES
180395393,"$  20,000 - $49,999",RENTER,N,1,30-34,Website,NO
181366247,"$  50,000 - $99,999",OWNER,N,1,30-34,Website,YES
130428724,"$  20,000 - $49,999",OWNER,N,42,75 years or more,DirectMarketing,YES
180647550,"Under $20,000",RENTER,N,13,45-49,DirectMarketing,NO
180755107,"$100,000 - $199,999",OWNER,N,24,55-59,DirectMarketing,NO
110462910,"Under $20,000",OWNER,N,14,70-74,DirectMarketing,NO
180651977,"$  50,000 - $99,999",OWNER,N,1,50-54,DirectMarketing,NO
180299824,"$100,000 - $199,999",OWNER,N,22,65-69,Website,YES
180298953,"Under $20,000",RENTER,N,11,45-49,Website,NO
180495072,"$100,000 - $199,999",OWNER,Y,3,40-44,DirectMarketing,NO
180575917,"$  50,000 - $99,999",OWNER,Y,19,60-64,DirectMarketing,NO
180480560,"$  20,000 - $49,999",OWNER,N,30,75 years or more,DirectMarketing,NO
180401023,"$  50,000 - $99,999",OWNER,N,6,50-54,DirectMarketing,NO
180459745,"$100,000 - $199,999",OWNER,N,21,60-64,DirectMarketing,NO
120513836,"$  20,000 - $49,999",OWNER,N,7,45-49,DirectMarketing,NO
181198866,"$  20,000 - $49,999",OWNER,N,26,75 years or more,DirectMarketing,NO
